,path,type
0,./Data/available/Drought/04_02_0001.jpg,Drought
1,./Data/available/Drought/04_02_0002.jpg,Drought
2,./Data/available/Drought/04_02_0003.jpg,Drought
3,./Data/available/Drought/04_02_0004.jpg,Drought
4,./Data/available/Drought/04_02_0005.jpg,Drought
5,./Data/available/Drought/04_02_0006.jpg,Drought
6,./Data/available/Drought/04_02_0007.jpg,Drought
7,./Data/available/Drought/04_02_0008.jpg,Drought
8,./Data/available/Drought/04_02_0009.jpg,Drought
9,./Data/available/Drought/04_02_0010.jpg,Drought
10,./Data/available/Drought/04_02_0011.jpg,Drought
11,./Data/available/Drought/04_02_0012.jpg,Drought
12,./Data/available/Drought/04_02_0013.jpg,Drought
13,./Data/available/Drought/04_02_0014.jpg,Drought
14,./Data/available/Drought/04_02_0015.jpg,Drought
15,./Data/available/Drought/04_02_0016.jpg,Drought
16,./Data/available/Drought/04_02_0017.jpg,Drought
17,./Data/available/Drought/04_02_0018.jpg,Drought
18,./Data/available/Drought/04_02_0019.jpg,Drought
19,./Data/available/Drought/04_02_0020.jpg,Drought
20,./Data/available/Drought/04_02_0021.jpg,Drought
21,./Data/available/Drought/04_02_0022.jpg,Drought
22,./Data/available/Drought/04_02_0023.jpg,Drought
23,./Data/available/Drought/04_02_0024.jpg,Drought
24,./Data/available/Drought/04_02_0025.jpg,Drought
25,./Data/available/Drought/04_02_0026.jpg,Drought
26,./Data/available/Drought/04_02_0027.jpg,Drought
27,./Data/available/Drought/04_02_0028.jpg,Drought
28,./Data/available/Drought/04_02_0029.jpg,Drought
29,./Data/available/Drought/04_02_0030.jpg,Drought
30,./Data/available/Drought/04_02_0031.jpg,Drought
31,./Data/available/Drought/04_02_0032.jpg,Drought
32,./Data/available/Drought/04_02_0033.jpg,Drought
33,./Data/available/Drought/04_02_0034.jpg,Drought
34,./Data/available/Drought/04_02_0035.jpg,Drought
35,./Data/available/Drought/04_02_0036.jpg,Drought
36,./Data/available/Drought/04_02_0037.jpg,Drought
37,./Data/available/Drought/04_02_0038.jpg,Drought
38,./Data/available/Drought/04_02_0039.jpg,Drought
39,./Data/available/Drought/04_02_0040.jpg,Drought
40,./Data/available/Drought/04_02_0041.jpg,Drought
41,./Data/available/Drought/04_02_0042.jpg,Drought
42,./Data/available/Drought/04_02_0043.jpg,Drought
43,./Data/available/Drought/04_02_0044.jpg,Drought
44,./Data/available/Drought/04_02_0045.jpg,Drought
